SEQENCE ID                     TM SP PREDICTION
GLOROS_005991-T1                0  Y n9-20c38/39o
GLOROS_005992-T1                3  Y n4-10c14/15o38-60i81-101o121-144i
GLOROS_005993-T1                0  0 o
GLOROS_005994-T1                0  0 o
GLOROS_005995-T1                0  0 o
GLOROS_005996-T1                0  0 o
GLOROS_005997-T1                0  0 o
GLOROS_005998-T1                0  0 i
GLOROS_005999-T1                1  0 o6-26i
GLOROS_006000-T1                0  0 o
GLOROS_006001-T1                0  0 o
GLOROS_006001-T2                0  0 o
GLOROS_006002-T1                0  0 o
GLOROS_006002-T2                0  0 o
GLOROS_006003-T1                0  0 o
GLOROS_006003-T2                0  0 o
GLOROS_006004-T1                0  0 o
GLOROS_006005-T1                0  0 o
GLOROS_006006-T1                0  0 o
GLOROS_006007-T1                0  0 o
GLOROS_006008-T1                0  0 o
GLOROS_006009-T1                0  Y n6-17c22/23o
GLOROS_006010-T1                0  0 o
GLOROS_006011-T1                0  0 o
GLOROS_006012-T1                3  Y n9-20c25/26o131-151i163-183o203-224i
GLOROS_006013-T1                0  0 o
GLOROS_006014-T1                0  0 i
GLOROS_006015-T1                0  Y n5-15c23/24o
GLOROS_006016-T1                0  0 o
GLOROS_006016-T2                0  0 o
GLOROS_006017-T1                0  Y n5-16c21/22o
GLOROS_006017-T2                0  Y n5-16c21/22o
GLOROS_006018-T1                0  Y n8-19c26/27o
GLOROS_006019-T1                0  Y n8-19c26/27o
GLOROS_006020-T1                0  0 o
GLOROS_006020-T2                0  0 o
GLOROS_006021-T1                0  0 o
GLOROS_006022-T1                0  0 o
GLOROS_006023-T1                0  0 o
GLOROS_006023-T2                0  0 o
GLOROS_006024-T1                0  0 o
GLOROS_006025-T1                0  0 o
GLOROS_006025-T2                0  0 o
GLOROS_006026-T1                0  0 o
GLOROS_006027-T1                0  0 i
GLOROS_006028-T1                0  0 o
GLOROS_006028-T2                0  0 o
GLOROS_006028-T3                0  0 o
GLOROS_006028-T4                0  0 o
GLOROS_006029-T1                0  0 o
GLOROS_006030-T1                0  0 o
GLOROS_006031-T1                0  0 o
GLOROS_006032-T1                0  Y n6-16c21/22o
GLOROS_006033-T1                0  0 o
GLOROS_006034-T1                0  0 o
GLOROS_006035-T1               11  0 o38-58i65-88o136-156i168-186o215-235i247-268o296-315i336-352o372-389i396-413o433-462i
GLOROS_006036-T1                0  Y n7-18c30/31o
GLOROS_006036-T2                0  Y n7-18c30/31o
GLOROS_006037-T1                3  0 o53-70i141-165o231-255i
GLOROS_006038-T1                0  Y n6-17c26/27o
GLOROS_006039-T1                0  0 o
GLOROS_006040-T1                0  0 i
GLOROS_006041-T1                0  0 o
GLOROS_006042-T1                1  0 o6-30i
GLOROS_006043-T1                1  0 o6-29i
GLOROS_006044-T1                3  0 o36-57i69-88o100-121i
GLOROS_006045-T1                0  Y n11-22c26/27o
GLOROS_006045-T2                0  0 o
GLOROS_006046-T1                0  0 o
GLOROS_006046-T2                0  0 i
GLOROS_006047-T1                0  Y n8-19c24/25o
GLOROS_006048-T1                0  0 o
GLOROS_006049-T1                1  0 o694-711i
GLOROS_006050-T1                0  0 o
GLOROS_006051-T1                0  0 o
GLOROS_006052-T1                0  0 o
GLOROS_006053-T1                0  0 o
GLOROS_006054-T1                0  0 o
GLOROS_006055-T1                0  0 o
GLOROS_006056-T1                1  0 o43-67i
GLOROS_006057-T1                0  Y n10-20c24/25o
GLOROS_006058-T1                0  0 o
GLOROS_006058-T2                0  0 o
GLOROS_006059-T1                0  0 o
GLOROS_006060-T1                0  0 o
GLOROS_006061-T1                0  0 o
GLOROS_006062-T1                0  0 o
GLOROS_006062-T2                0  Y n10-20c25/26o
GLOROS_006062-T3                0  Y n10-20c25/26o
GLOROS_006062-T4                0  0 o
GLOROS_006063-T1                0  0 o
GLOROS_006064-T1                0  0 i
GLOROS_006065-T1                1  0 i145-167o
GLOROS_006066-T1                3  0 o30-51i63-84o104-127i
GLOROS_006067-T1                0  0 o
GLOROS_006068-T1                0  0 o
GLOROS_006069-T1                0  0 o
GLOROS_006070-T1                2  0 i144-165o185-210i
GLOROS_006071-T1                0  0 o
GLOROS_006071-T2                0  0 o
GLOROS_006072-T1                5  0 o30-51i63-84o104-127i148-169o195-215i
GLOROS_006073-T1                0  0 o
GLOROS_006073-T2                0  0 o
GLOROS_006074-T1                0  0 o
GLOROS_006075-T1                0  0 o
GLOROS_006076-T1                2  0 o135-154i306-326o
GLOROS_006076-T2                2  0 o135-154i306-326o
GLOROS_006076-T3                0  0 o
GLOROS_006077-T1                0  0 o
GLOROS_006078-T1                1  0 i12-33o
GLOROS_006079-T1                0  0 i
GLOROS_006080-T1                0  0 o
GLOROS_006081-T1                0  Y n4-15c20/21o
GLOROS_006081-T2                0  Y n4-15c20/21o
GLOROS_006082-T1                0  0 o
GLOROS_006082-T2                0  0 o
GLOROS_006082-T3                0  0 o
GLOROS_006083-T1                0  0 o
GLOROS_006084-T1                0  0 o
GLOROS_006085-T1                0  0 o
GLOROS_006085-T2                0  0 o
GLOROS_006085-T3                0  0 o
GLOROS_006085-T4                0  0 o
GLOROS_006086-T1                0  0 o
GLOROS_006087-T1                1  0 i20-46o
GLOROS_006088-T1                0  Y n8-18c26/27o
GLOROS_006089-T1                0  0 o
GLOROS_006090-T1                0  0 o
GLOROS_006090-T2                0  0 o
GLOROS_006091-T1                0  0 o
GLOROS_006092-T1                2  0 i65-83o98-117i
GLOROS_006092-T2                2  0 i65-83o98-117i
GLOROS_006093-T1                0  0 o
GLOROS_006093-T2                0  0 o
GLOROS_006094-T1                1  0 i12-35o
GLOROS_006095-T1                0  Y n18-27c31/32o
GLOROS_006096-T1                1  Y n6-14c19/20o271-296i
GLOROS_006097-T1                6  0 i403-422o498-519i540-558o570-588i609-631o694-713i
GLOROS_006097-T2                6  0 i434-453o529-550i571-589o601-619i640-662o725-744i
GLOROS_006098-T1                0  0 o
GLOROS_006098-T2                0  0 o
GLOROS_006099-T1                0  Y n2-12c17/18o
GLOROS_006100-T1                4  0 i167-189o195-213i241-268o288-307i
GLOROS_006101-T1                0  0 o
GLOROS_006102-T1                0  0 o
GLOROS_006103-T1                0  0 o
GLOROS_006104-T1                0  0 o
GLOROS_006105-T1                0  Y n17-27c32/33o
GLOROS_006105-T2                2  Y n17-27c32/33o48-69i90-110o
GLOROS_006105-T3                0  0 o
GLOROS_006106-T1                0  0 o
GLOROS_006107-T1                0  0 o
GLOROS_006108-T1                1  0 o12-28i
GLOROS_006109-T1                0  0 o
GLOROS_006110-T1                0  0 o
GLOROS_006110-T2                0  0 i
GLOROS_006111-T1                0  0 o
GLOROS_006112-T1                0  0 o
GLOROS_006112-T2                0  0 o
GLOROS_006112-T3                1  0 o800-821i
GLOROS_006113-T1                0  Y n8-19c27/28o
GLOROS_006114-T1                7  0 o20-41i53-78o98-121i133-153o165-185i224-241o247-271i
GLOROS_006114-T2                7  0 o20-41i53-78o98-121i133-154o166-186i225-242o248-272i
GLOROS_006115-T1                0  Y n2-17c25/26o
GLOROS_006116-T1                0  0 i
GLOROS_006117-T1                0  0 o
GLOROS_006118-T1                0  0 o
GLOROS_006119-T1                0  0 o
GLOROS_006119-T2                0  0 o
GLOROS_006120-T1                2  Y n4-14c19/20o35-53i294-316o
GLOROS_006120-T2                2  0 o20-38i279-301o
GLOROS_006121-T1                0  Y n4-12c17/18o
GLOROS_006122-T1                0  0 i
GLOROS_006123-T1                0  0 o
GLOROS_006123-T2                0  0 o
GLOROS_006124-T1                0  0 o
GLOROS_006125-T1                0  0 o
GLOROS_006126-T1                0  0 o
GLOROS_006127-T1                0  0 o
GLOROS_006128-T1               11  0 o37-57i78-96o122-141i148-169o189-213i244-266o286-307i314-336o342-363i370-398o410-435i
GLOROS_006129-T1                3  0 o21-40i99-121o182-206i
GLOROS_006130-T1                2  0 o90-109i129-149o
GLOROS_006131-T1                0  0 o
GLOROS_006131-T2                0  0 o
GLOROS_006132-T1                0  0 o
GLOROS_006133-T1                0  0 o
GLOROS_006133-T2                0  0 o
GLOROS_006133-T3                0  0 o
GLOROS_006133-T4                0  0 o
GLOROS_006134-T1                0  0 o
GLOROS_006134-T2                0  0 o
GLOROS_006135-T1                0  Y n4-12c17/18o
GLOROS_006136-T1                1  0 i12-32o
GLOROS_006137-T1                0  Y n4-15c19/20o
GLOROS_006138-T1                8  0 i59-80o86-108i120-146o184-207i239-259o265-287i308-331o337-360i
GLOROS_006138-T2                5  0 o12-31i63-83o89-111i132-155o161-184i
GLOROS_006139-T1                0  0 o
GLOROS_006140-T1                1  0 i244-268o
GLOROS_006141-T1                0  0 o
GLOROS_006142-T1                0  0 o
GLOROS_006143-T1                0  0 o
GLOROS_006144-T1                0  0 o
GLOROS_006145-T1                0  0 o
GLOROS_006146-T1                0  0 o
GLOROS_006147-T1                9  0 o97-117i180-199o205-227i248-267o273-289i310-329o378-395i407-425o437-455i
GLOROS_006148-T1                0  0 o
GLOROS_006148-T2                0  0 o
GLOROS_006148-T3                0  0 o
GLOROS_006149-T1                0  0 o
GLOROS_006150-T1                0  0 o
GLOROS_006151-T1                4  0 o59-77i98-116o122-143i155-177o
GLOROS_006152-T1                0  Y n3-13c18/19o
GLOROS_006153-T1                0  0 o
GLOROS_006154-T1                0  0 o
GLOROS_006155-T1                0  0 i
GLOROS_006156-T1                0  0 o
GLOROS_006156-T2                0  0 o
GLOROS_006157-T1                0  0 o
GLOROS_006157-T2                0  0 o
GLOROS_006158-T1                0  0 o
GLOROS_006159-T1                0  Y n7-17c21/22o
GLOROS_006159-T2                0  Y n2-12c17/18o
GLOROS_006159-T3                1  Y n7-17c21/22o425-444i
GLOROS_006159-T4                0  Y n7-17c21/22o
GLOROS_006160-T1                0  0 o
GLOROS_006160-T2                0  0 o
GLOROS_006161-T1                0  0 o
GLOROS_006162-T1                0  0 o
GLOROS_006163-T1                4  0 i80-101o113-135i348-367o382-404i
GLOROS_006164-T1                0  0 o
GLOROS_006165-T1                3  0 o28-47i67-87o121-140i
GLOROS_006168-T1                0  0 o
GLOROS_006168-T2                0  0 o
GLOROS_006169-T1                0  0 i
GLOROS_006170-T1                0  0 o
GLOROS_006170-T2                0  0 o
GLOROS_006170-T3                0  0 o
GLOROS_006170-T4                0  0 o
GLOROS_006171-T1                0  0 o
GLOROS_006172-T1                0  Y n6-17c22/23o
GLOROS_006173-T1                1  0 o233-252i
GLOROS_006174-T1                2  0 o423-442i449-468o
GLOROS_006175-T1                0  0 o
GLOROS_006176-T1                0  0 o
GLOROS_006177-T1                5  Y n6-17c22/23o261-284i291-313o325-347i359-379o489-506i
GLOROS_006178-T1                0  Y n4-15c20/21o
GLOROS_006179-T1                0  Y n10-21c29/30o
GLOROS_006180-T1                0  0 o
GLOROS_006181-T1                1  Y n18-30c35/36o51-69i
GLOROS_006182-T1               10  0 i65-83o89-110i298-318o338-357i847-867o873-891i920-942o954-977i984-1010o1030-1052i
GLOROS_006182-T2               10  0 i12-30o36-57i245-265o285-304i794-814o820-838i867-889o901-924i931-957o977-999i
GLOROS_006182-T3                8  0 i121-141o161-180i670-690o696-714i743-765o777-800i807-833o853-875i
GLOROS_006183-T1                0  0 o
GLOROS_006184-T1               12  0 o20-43i50-67o73-91i98-114o120-138i145-164o176-193i205-228o268-287i294-312o318-339i415-443o
GLOROS_006185-T1                1  0 o1099-1118i
GLOROS_006186-T1                0  Y n4-15c23/24o
GLOROS_006187-T1                0  0 o
GLOROS_006188-T1                0  0 o
GLOROS_006189-T1                3  0 o15-36i48-67o79-98i
GLOROS_006190-T1                5  Y n2-10c15/16o31-47i68-87o107-130i215-239o305-329i
GLOROS_006191-T1               12  0 i7-24o110-129i138-156o162-181i188-204o210-230i297-317o329-349i361-379o391-410i430-448o460-480i
GLOROS_006192-T1                8  0 o6-28i55-78o98-120i208-227o233-252i264-286o298-319i331-350o
GLOROS_006193-T1                4  0 o32-50i194-213o249-269i281-302o
GLOROS_006194-T1                0  0 o
GLOROS_006195-T1                0  0 o
GLOROS_006195-T2                0  0 o
GLOROS_006196-T1                0  0 o
GLOROS_006197-T1                0  0 i
GLOROS_006198-T1                0  0 o
GLOROS_006199-T1                0  0 i
GLOROS_006200-T1                0  Y n5-16c24/25o
GLOROS_006201-T1                0  0 o
GLOROS_006201-T2                0  0 o
GLOROS_006202-T1                1  0 o386-410i
GLOROS_006202-T2                1  0 o43-67i
GLOROS_006202-T3                0  0 o
GLOROS_006203-T1                8  0 o72-92i99-118o124-147i159-180o192-211i255-274o294-314i326-345o
GLOROS_006204-T1               11  0 o65-85i92-111o117-140i152-175o187-205i248-274o286-307i319-340o346-367i379-404o416-436i
GLOROS_006205-T1                1  Y n8-19c24/25o263-279i
GLOROS_006205-T2                0  Y n8-19c24/25o
GLOROS_006206-T1                4  0 o12-30i51-69o75-92i279-304o
GLOROS_006207-T1                0  0 o
GLOROS_006207-T2                0  0 o
GLOROS_006208-T1                0  0 o
GLOROS_006208-T2                0  0 o
GLOROS_006209-T1                0  0 o
GLOROS_006209-T2                0  0 o
GLOROS_006210-T1                0  Y n10-18c26/27o
GLOROS_006210-T2                0  Y n10-18c26/27o
GLOROS_006210-T3                0  Y n10-18c26/27o
GLOROS_006210-T4                0  Y n10-18c26/27o
GLOROS_006211-T1                0  0 o
GLOROS_006212-T1                0  0 o
GLOROS_006213-T1                0  0 o
GLOROS_006214-T1                0  0 o
GLOROS_006215-T1                0  Y n4-15c23/24o
GLOROS_006216-T1                4  0 o6-27i166-184o204-222i250-274o
GLOROS_006217-T1                0  0 o
GLOROS_006218-T1                0  Y n6-19c26/27o
GLOROS_006219-T1                0  0 o
GLOROS_006220-T1                0  0 o
GLOROS_006221-T1                0  0 o
GLOROS_006222-T1                0  0 o
GLOROS_006223-T1                0  Y n12-22c29/30o
GLOROS_006224-T1                0  0 o
GLOROS_006225-T1                0  0 o
GLOROS_006225-T2                0  0 o
GLOROS_006226-T1                0  0 o
GLOROS_006227-T1                0  Y n10-18c23/24o
GLOROS_006227-T2                0  Y n10-18c23/24o
GLOROS_006228-T1                0  0 o
GLOROS_006229-T1                0  0 o
GLOROS_006230-T1                0  0 o
GLOROS_006231-T1                0  0 o
GLOROS_006232-T1                0  0 o
GLOROS_006233-T1                7  0 o79-102i114-134o154-174i195-213o245-268i298-316o342-364i
GLOROS_006233-T2                7  0 o79-102i114-134o154-174i195-213o245-268i298-319o345-367i
GLOROS_006234-T1                5  0 i28-50o70-86i203-219o231-255i276-293o
GLOROS_006235-T1                0  0 o
GLOROS_006236-T1                0  0 o
GLOROS_006237-T1                0  Y n10-18c23/24o
GLOROS_006238-T1                0  0 o
GLOROS_006239-T1                0  0 o
GLOROS_006240-T1                0  0 o
GLOROS_006241-T1                0  0 o
GLOROS_006241-T2                0  0 o
GLOROS_006241-T3                0  0 o
GLOROS_006241-T4                0  0 o
GLOROS_006242-T1                3  0 o39-58i70-90o110-131i
GLOROS_006243-T1                0  Y n26-36c41/42o
GLOROS_006244-T1                0  0 o
GLOROS_006245-T1                0  0 o
GLOROS_006245-T2                0  0 o
GLOROS_006246-T1                0  0 o
GLOROS_006247-T1                0  0 o
GLOROS_006248-T1                0  0 o
GLOROS_006249-T1                0  0 o
GLOROS_006250-T1                0  0 o
GLOROS_006251-T1                0  0 o
GLOROS_006252-T1                4  0 o17-43i55-79o99-124i199-219o
GLOROS_006253-T1                4  0 i12-35o67-91i98-120o201-221i
GLOROS_006254-T1                0  Y n2-10c15/16o
GLOROS_006255-T1                0  0 o
GLOROS_006256-T1                0  0 o
GLOROS_006257-T1                0  0 o
GLOROS_006257-T2                0  0 o
GLOROS_006257-T3                0  0 o
GLOROS_006258-T1                1  0 o34-54i
GLOROS_006258-T2                0  0 o
GLOROS_006259-T1                0  0 o
GLOROS_006260-T1                0  0 o
GLOROS_006260-T2                0  0 o
GLOROS_006261-T1                0  Y n10-17c23/24o
GLOROS_006262-T1                0  0 o
GLOROS_006263-T1                0  0 o
GLOROS_006264-T1                0  0 i
GLOROS_006265-T1                0  0 o
GLOROS_006266-T1                1  0 o31-51i
GLOROS_006267-T1                1  0 o280-299i
GLOROS_006268-T1                0  0 o
GLOROS_006269-T1                0  0 o
GLOROS_006270-T1                2  0 i75-94o174-195i
GLOROS_006271-T1                0  0 o
GLOROS_006272-T1                1  0 i24-43o
GLOROS_006273-T1                1  0 o2467-2487i
GLOROS_006273-T2                1  0 o2466-2486i
GLOROS_006274-T1                0  0 o
GLOROS_006275-T1                0  0 o
GLOROS_006276-T1                0  0 o
GLOROS_006277-T1                0  0 o
GLOROS_006278-T1                0  0 i
GLOROS_006279-T1                0  Y n10-20c25/26o
GLOROS_006280-T1                0  0 o
GLOROS_006281-T1                0  0 o
GLOROS_006282-T1                0  0 o
GLOROS_006283-T1                1  0 i25-49o
GLOROS_006286-T1                1  0 i12-37o
GLOROS_006286-T2                0  0 o
GLOROS_006287-T1                5  0 o57-82i94-116o122-144i156-176o191-215i
GLOROS_006287-T2                3  0 o57-82i94-116o122-143i
GLOROS_006288-T1                0  0 o
GLOROS_006289-T1                0  0 o
GLOROS_006290-T1                0  0 o
GLOROS_006291-T1                0  0 o
GLOROS_006291-T2                0  0 o
GLOROS_006291-T3                0  0 o
GLOROS_006292-T1                0  0 o
GLOROS_006293-T1                0  0 o
GLOROS_006293-T2                0  0 o
GLOROS_006293-T3                0  0 o
GLOROS_006293-T4                0  0 o
GLOROS_006294-T1                0  Y n5-15c19/20o
GLOROS_006295-T1                0  0 o
GLOROS_006296-T1                0  0 o
GLOROS_006297-T1                0  0 o
GLOROS_006298-T1                0  0 o
GLOROS_006299-T1                0  Y n5-13c18/19o
GLOROS_006300-T1                0  0 o
GLOROS_006300-T2                0  0 o
GLOROS_006301-T1                0  0 o
GLOROS_006302-T1                0  0 o
GLOROS_006303-T1                0  Y n7-18c25/26o
GLOROS_006304-T1                0  0 o
GLOROS_006304-T2                0  0 o
GLOROS_006305-T1                0  0 o
GLOROS_006305-T2                0  0 o
GLOROS_006306-T1                0  0 o
GLOROS_006307-T1                1  Y n8-19c24/25o669-692i
GLOROS_006308-T1                0  0 o
GLOROS_006309-T1                0  Y n5-13c18/19o
GLOROS_006310-T1                6  0 o29-49i140-160o166-195i216-240o252-271i283-307o
GLOROS_006311-T1                0  0 o
GLOROS_006311-T2                0  0 o
GLOROS_006312-T1                0  0 o
GLOROS_006312-T2                0  0 o
GLOROS_006313-T1                0  0 o
GLOROS_006314-T1                0  0 o
GLOROS_006315-T1                2  0 i128-150o189-210i
GLOROS_006315-T2                2  0 i126-148o187-208i
GLOROS_006316-T1                0  0 o
GLOROS_006316-T2                0  0 o
GLOROS_006317-T1                0  0 o
GLOROS_006318-T1                0  0 o
GLOROS_006318-T2                0  0 i
GLOROS_006319-T1                0  0 o
GLOROS_006320-T1                3  0 o529-551i560-578o590-611i
GLOROS_006321-T1                0  0 o
GLOROS_006322-T1                0  0 o
GLOROS_006322-T2                0  0 o
GLOROS_006322-T3                0  0 o
GLOROS_006323-T1                0  Y n8-19c23/24o
GLOROS_006324-T1                0  0 o
GLOROS_006324-T2                0  0 o
GLOROS_006325-T1                0  Y n3-12c17/18o
GLOROS_006325-T2                0  Y n3-12c17/18o
GLOROS_006326-T1                1  0 o401-422i
GLOROS_006327-T1                0  0 i
GLOROS_006328-T1                0  0 o
GLOROS_006329-T1                0  0 o
GLOROS_006329-T2                0  0 o
GLOROS_006330-T1                0  Y n4-14c19/20o
GLOROS_006331-T1                0  0 o
GLOROS_006332-T1                0  Y n4-15c20/21o
GLOROS_006332-T2                0  0 o
GLOROS_006333-T1                0  0 o
GLOROS_006333-T2                0  0 o
GLOROS_006333-T3                0  0 o
GLOROS_006334-T1                1  0 i7-26o
GLOROS_006334-T2                1  0 i7-26o
GLOROS_006335-T1                0  0 i
GLOROS_006336-T1                0  Y n11-19c24/25o
GLOROS_006336-T2                0  0 o
GLOROS_006337-T1                0  0 o
GLOROS_006337-T2                0  0 o
GLOROS_006338-T1                0  0 o
GLOROS_006338-T2                0  0 o
GLOROS_006339-T1                0  0 o
GLOROS_006340-T1                0  Y n6-13c18/19o
GLOROS_006341-T1                0  0 i
GLOROS_006342-T1                0  0 o
GLOROS_006343-T1                0  0 o
GLOROS_006343-T2                0  0 o
GLOROS_006343-T3                0  0 o
GLOROS_006344-T1                0  0 o
GLOROS_006345-T1                0  0 o
GLOROS_006346-T1                0  0 o
GLOROS_006347-T1                0  0 o
GLOROS_006348-T1                0  0 o
GLOROS_006349-T1                0  0 o
GLOROS_006350-T1                1  0 i111-134o
GLOROS_006351-T1                0  0 o
GLOROS_006352-T1                0  0 o
GLOROS_006353-T1                0  0 o
GLOROS_006354-T1                0  0 o
GLOROS_006355-T1                0  0 o
GLOROS_006355-T2                0  Y n6-11c16/17o
GLOROS_006355-T3                0  Y n6-11c16/17o
GLOROS_006355-T4                0  0 o
GLOROS_006356-T1                0  0 o
GLOROS_006357-T1                0  0 o
GLOROS_006358-T1                0  0 o
GLOROS_006359-T1                0  0 o
GLOROS_006360-T1                0  0 i
GLOROS_006361-T1                0  0 o
GLOROS_006361-T2                0  0 o
GLOROS_006362-T1                1  0 i27-45o
GLOROS_006363-T1                4  0 o20-40i52-72o78-101i359-383o
GLOROS_006363-T2                1  0 o328-352i
GLOROS_006364-T1                6  0 i79-101o132-156i176-194o200-223i244-265o271-296i
GLOROS_006365-T1                3  0 o6-30i110-135o147-164i
GLOROS_006366-T1                0  0 o
GLOROS_006366-T2                0  0 o
GLOROS_006367-T1                0  0 o
GLOROS_006368-T1                4  0 o27-46i87-106o138-162i314-338o
GLOROS_006369-T1                0  0 o
GLOROS_006369-T2                0  0 o
GLOROS_006370-T1                0  0 o
GLOROS_006371-T1                0  0 o
GLOROS_006372-T1                0  0 o
GLOROS_006372-T2                0  0 o
GLOROS_006373-T1                0  0 o
GLOROS_006374-T1                0  0 o
GLOROS_006375-T1                0  0 o
GLOROS_006376-T1               10  0 i86-109o129-146i178-198o218-237i249-269o306-334i341-364o370-390i397-417o461-483i
GLOROS_006377-T1                1  0 o12-29i
GLOROS_006378-T1                2  0 i91-113o138-160i
GLOROS_006379-T1                0  0 o
GLOROS_006380-T1                0  0 o
GLOROS_006381-T1                0  0 i
GLOROS_006381-T2                0  0 i
GLOROS_006382-T1                0  0 o
GLOROS_006383-T1                0  0 o
GLOROS_006383-T2                0  0 o
GLOROS_006384-T1                0  Y n5-16c21/22o
GLOROS_006385-T1                1  0 o6-29i
GLOROS_006386-T1                0  0 o
GLOROS_006386-T2                0  0 o
GLOROS_006387-T1                0  0 o
GLOROS_006387-T2                0  0 o
GLOROS_006388-T1                7  0 o639-664i676-696o702-724i763-787o813-832i844-868o874-903i
GLOROS_006389-T1                0  0 o
GLOROS_006390-T1                0  0 o
GLOROS_006390-T2                0  0 o
GLOROS_006391-T1                5  0 o18-37i58-76o113-133i296-319o331-353i
GLOROS_006392-T1                3  0 o20-41i61-81o101-126i
GLOROS_006393-T1                0  0 o
GLOROS_006394-T1                0  0 o
GLOROS_006394-T2                0  0 o
GLOROS_006395-T1                0  0 o
GLOROS_006395-T2                0  0 o
GLOROS_006396-T1                0  Y n6-15c19/20o
GLOROS_006397-T1                0  Y n13-23c28/29o
GLOROS_006398-T1                0  0 o
GLOROS_006399-T1                0  0 o
GLOROS_006399-T2                0  0 o
GLOROS_006399-T3                0  0 o
GLOROS_006400-T1                0  0 o
GLOROS_006401-T1                0  0 o
GLOROS_006402-T1                0  Y n5-16c24/25o
GLOROS_006403-T1                1  0 o6-31i
GLOROS_006403-T2                1  0 o6-31i
GLOROS_006404-T1                4  0 i61-85o135-158i170-193o252-273i
GLOROS_006405-T1                0  0 o
GLOROS_006406-T1                1  0 o41-61i
GLOROS_006407-T1                2  0 i21-41o95-116i
GLOROS_006408-T1                0  Y n8-18c26/27o
GLOROS_006409-T1                2  0 o13-31i43-63o
GLOROS_006410-T1                1  0 o243-264i
GLOROS_006411-T1                0  0 o
GLOROS_006412-T1                0  Y n5-12c17/18o
GLOROS_006412-T2                0  Y n5-12c17/18o
GLOROS_006413-T1                0  0 o
GLOROS_006414-T1                0  0 o
GLOROS_006415-T1                0  0 o
GLOROS_006415-T2                2  0 o6-24i31-51o
GLOROS_006416-T1                9  0 o148-166i211-234o246-265i277-298o373-396i436-456o468-489i509-536o548-570i
GLOROS_006417-T1                0  0 o
GLOROS_006418-T1                0  0 o
GLOROS_006419-T1                0  0 o
GLOROS_006420-T1                0  0 o
GLOROS_006420-T2                0  0 o
GLOROS_006421-T1                3  0 o29-47i68-87o93-114i
GLOROS_006421-T2                3  0 o30-47i59-78o84-105i
GLOROS_006422-T1                0  Y n15-26c34/35o
GLOROS_006423-T1                0  0 o
GLOROS_006423-T2                0  0 o
GLOROS_006424-T1                0  0 o
GLOROS_006424-T2                0  0 o
GLOROS_006425-T1                0  0 o
GLOROS_006426-T1                0  0 o
GLOROS_006427-T1                0  0 o
GLOROS_006428-T1                3  0 i12-32o44-62i74-92o
GLOROS_006429-T1                5  0 i51-75o87-107i119-142o148-168i180-197o
GLOROS_006430-T1                0  Y n2-9c13/14o
GLOROS_006431-T1                1  0 o6-27i
GLOROS_006432-T1                0  Y n5-16c21/22o
GLOROS_006433-T1                0  0 o
GLOROS_006434-T1                0  0 o
GLOROS_006435-T1                0  0 o
GLOROS_006436-T1                0  0 o
GLOROS_006437-T1                0  0 o
GLOROS_006438-T1                3  0 o15-35i81-104o155-176i
GLOROS_006438-T2                3  0 o15-35i81-104o155-176i
GLOROS_006439-T1                0  0 o
GLOROS_006440-T1                0  0 o
GLOROS_006441-T1                0  0 o
GLOROS_006442-T1                0  0 o
GLOROS_006443-T1                0  0 o
GLOROS_006444-T1                0  0 o
GLOROS_006444-T2                0  0 o
GLOROS_006445-T1                0  0 o
GLOROS_006446-T1                0  0 o
GLOROS_006447-T1                0  0 o
GLOROS_006448-T1                0  Y n12-23c28/29o
GLOROS_006449-T1                7  0 o144-170i182-206o276-294i306-331o385-404i451-480o500-525i
GLOROS_006449-T2                6  0 o144-170i182-206o276-294i306-331o385-404i452-469o
GLOROS_006450-T1                0  0 o
GLOROS_006450-T2                0  0 o
GLOROS_006451-T1                0  0 o
GLOROS_006451-T2                0  0 o
GLOROS_006452-T1                1  0 o26-45i
GLOROS_006453-T1                1  0 i7-30o
GLOROS_006454-T1                0  0 o
GLOROS_006455-T1                0  0 o
GLOROS_006456-T1                7  0 o20-43i55-74o80-102i109-132o138-161i168-189o195-217i
GLOROS_006456-T2                7  0 o17-40i52-71o77-99i106-129o135-158i165-186o192-214i
GLOROS_006457-T1                1  0 o50-72i
GLOROS_006458-T1                5  0 i100-118o130-151i172-200o288-306i318-338o
GLOROS_006459-T1                4  0 o34-56i77-99o105-131i152-171o
GLOROS_006460-T1                0  Y n11-22c27/28o
GLOROS_006461-T1                0  0 o
GLOROS_006462-T1                2  0 i259-280o300-326i
GLOROS_006462-T2                3  0 o233-252i259-280o300-326i
GLOROS_006463-T1                0  Y n7-18c22/23o
GLOROS_006464-T1                0  Y n14-22c27/28o
GLOROS_006465-T1                5  Y n6-17c22/23o46-72i84-103o142-165i214-235o255-274i
GLOROS_006465-T2                5  Y n6-17c22/23o46-72i84-103o142-165i214-235o255-274i
GLOROS_006466-T1                0  Y n15-27c32/33o
GLOROS_006466-T2                0  Y n15-27c32/33o
GLOROS_006467-T1                0  Y n4-12c20/21o
GLOROS_006467-T2                0  Y n4-12c20/21o
GLOROS_006468-T1                0  0 o
GLOROS_006469-T1                0  Y n9-19c24/25o
GLOROS_006469-T2                0  Y n9-19c24/25o
GLOROS_006470-T1                0  0 o
GLOROS_006471-T1                3  0 o78-101i113-138o144-169i
GLOROS_006471-T2                3  0 o30-54i61-85o91-116i
