#gene	DOGBOX_motif	SUBBOX_motif	SPRYSEC(Y/N)	Secreted(Y/n)	annotation	GH_domain	duplication_type	up_J2_v_14dpi	up_J2_v_egg	Up_14_vs_J2	 Up_14_vs_EGG	up_male_vs_dpi14	upregulated_LOG2_FDR:p<0.001
GPALN_006067	11	-	-	YES	GPALN_006067-T1 ---NA---	-	proximal	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_dpi7_Gp_dpi7_UP; dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_dpi7_Gp_dpi7_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_MALE_Gp_dpi7_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_006752	9	-	-	YES	GPALN_006752-T1 ---NA---	-	tandem	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_dpi7_Gp_dpi7_UP; dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_006754	7	-	-	YES	GPALN_006754-T1 ---NA---	-	tandem	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_dpi7_Gp_dpi7_UP; dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_EGG_Gp_dpi7_UP; dpi7_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_MALE_Gp_dpi7_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_006755	5	-	-	YES	GPALN_006755-T1 ---NA---	-	tandem	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_dpi7_Gp_dpi7_UP; dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_EGG_Gp_dpi7_UP; dpi7_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_MALE_Gp_dpi7_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_006756	8	-	-	YES	GPALN_006756-T1 ---NA---	-	tandem	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_006759	5	-	-	YES	GPALN_006759-T1 ---NA---	-	proximal	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_dpi7_Gp_dpi7_UP; dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_MALE_Gp_dpi7_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_006766	3	-	-	YES	GPALN_006766-T1 ---NA---	-	proximal	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_006769	3	-	-	YES	GPALN_006769-T1 ---NA---	-	tandem	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_EGG_Gp_dpi7_UP; dpi7_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_MALE_Gp_dpi7_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_006775	3	-	YES	YES	GPALN_006775-T1 RBP-1 protein	-	dispersed	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_006818	3	-	YES	YES	GPALN_006818-T1 RBP-1 protein	-	WGD/segmental	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_006828	5	-	YES	YES	GPALN_006828-T1 RBP-1 protein	-	WGD/segmental	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_006839	1	-	YES	YES	GPALN_006839-T1 RBP-1 protein	-	WGD/segmental	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_006853	4	-	YES	YES	GPALN_006853-T1 RBP-1 protein	-	WGD/segmental	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_006856	4	-	YES	YES	GPALN_006856-T1 rbp-1 protein	-	WGD/segmental	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_006945	-	-	-	YES	GPALN_006945-T1 E3 ubiquitin-protein ligase RING1-like	-	proximal	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_EGG_Gp_dpi7_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_007181	3	-	-	YES	GPALN_007181-T1 ---NA---	-	singleton	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_007436	4	-	-	YES	GPALN_007436-T2 BTB/POZ domain-containing protein 2	-	WGD/segmental	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_007445	3	-	YES	YES	GPALN_007445-T1 RBP-1 protein	-	WGD/segmental	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_007670	6	-	-	YES	GPALN_007670-T1 histone-lysine N-methyltransferase EHMT1-like	-	dispersed	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_007708	4	-	-	YES	GPALN_007708-T1 hypothetical protein	-	tandem	up_J2_vs_14dpi	up_j2_v_egg	-	-	up_male_vs_dpi14	dpi14_vs_Gp_J2_Gp_J2_UP; dpi14_vs_Gp_MALE_Gp_dpi14_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_MALE_Gp_dpi21_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_MALE_Gp_dpi7_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_007837	3	-	-	YES	GPALN_007837-T1 ---NA---	-	singleton	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_EGG_Gp_dpi7_UP; dpi7_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_MALE_Gp_dpi7_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_008101	4	-	-	YES	GPALN_008101-T1 ---NA---	-	proximal	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_009056	4	-	-	YES	GPALN_009056-T1 ---NA---	-	singleton	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_EGG_Gp_EGG_UP; dpi14_vs_Gp_J2_Gp_J2_UP; dpi14_vs_Gp_MALE_Gp_MALE_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_MALE_Gp_MALE_UP; dpi28_vs_Gp_EGG_Gp_EGG_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_MALE_Gp_MALE_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_MALE_Gp_MALE_UP; dpi7_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_MALE_Gp_MALE_UP; EGG_vs_Gp_J2_Gp_J2_UP
GPALN_009444	-	-	-	YES	"GPALN_009444-T1 Chitin-binding, type 1 domain and Glycoside hydrolase, family 18, catalytic domain and Chitinase II domain and Glycoside hydrolase, catalytic domain and Glycoside hydrolase, superfamily domain-containing protein"	-	WGD/segmental	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP
GPALN_009458	5	-	YES	YES	GPALN_009458-T1 RBP-1 protein	-	WGD/segmental	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_009497	10	-	-	YES	GPALN_009497-T1 ---NA---	-	tandem	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_009498	9	-	-	YES	GPALN_009498-T1 ---NA---	-	tandem	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_009532	5	-	YES	YES	GPALN_009532-T1 RBP-1 protein	-	WGD/segmental	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_009580	3	-	-	YES	GPALN_009580-T1 ---NA---	-	singleton	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_dpi7_Gp_dpi7_UP; dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_dpi7_Gp_dpi7_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_dpi7_Gp_dpi7_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_009586	7	-	-	YES	GPALN_009586-T1 ---NA---	-	proximal	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_009589	4	-	-	YES	GPALN_009589-T1 ---NA---	-	tandem	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_009796	9	-	-	YES	GPALN_009796-T1 ---NA---	-	dispersed	up_J2_vs_14dpi	up_j2_v_egg	-	Up_dpi14_vs_EGG	up_male_vs_dpi14	dpi14_vs_Gp_EGG_Gp_dpi14_UP; dpi14_vs_Gp_J2_Gp_J2_UP; dpi14_vs_Gp_MALE_Gp_dpi14_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_MALE_Gp_dpi21_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_MALE_Gp_dpi35_UP; dpi7_vs_Gp_EGG_Gp_dpi7_UP; dpi7_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_MALE_Gp_dpi7_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_009815	8	-	YES	YES	GPALN_009815-T1 RBP-1 protein	-	dispersed	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_009825	4	-	-	YES	GPALN_009825-T1 ---NA---	-	singleton	up_J2_vs_14dpi	up_j2_v_egg	-	Up_dpi14_vs_EGG	up_male_vs_dpi14	dpi14_vs_Gp_EGG_Gp_dpi14_UP; dpi14_vs_Gp_J2_Gp_J2_UP; dpi14_vs_Gp_MALE_Gp_dpi14_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_EGG_Gp_dpi7_UP; dpi7_vs_Gp_MALE_Gp_dpi7_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_009837	-	-	-	YES	"GPALN_009837-T1 beta-1,4-endoglucanase precursor"	CAZy:GH5_2; CAZy:GH5; 	dispersed	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_EGG_Gp_EGG_UP; dpi14_vs_Gp_J2_Gp_J2_UP; dpi14_vs_Gp_MALE_Gp_MALE_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_MALE_Gp_MALE_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_MALE_Gp_MALE_UP; dpi35_vs_Gp_EGG_Gp_EGG_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_MALE_Gp_MALE_UP; dpi7_vs_Gp_EGG_Gp_EGG_UP; dpi7_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_MALE_Gp_MALE_UP; EGG_vs_Gp_J2_Gp_J2_UP
GPALN_009900	35	-	-	YES	GPALN_009900-T1 ---NA---	-	dispersed	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_EGG_Gp_EGG_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_009918	-	-	YES	YES	GPALN_009918-T1 RBP-1 protein	-	WGD/segmental	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_010093	8	-	YES	YES	GPALN_010093-T1 RBP-1 protein	-	dispersed	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_010199	2	-	-	YES	GPALN_010199-T1 putative gland protein G20E03	-	dispersed	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_010232	6	-	YES	YES	GPALN_010232-T1 BTB/POZ domain-containing protein 6-like	-	WGD/segmental	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_010540	1	-	-	YES	GPALN_010540-T1 ---NA---	-	WGD/segmental	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_010542	4	-	-	YES	GPALN_010542-T1 ---NA---	-	proximal	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_010554	7	-	-	YES	GPALN_010554-T1 ---NA---	-	tandem	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_010603	-	1	-	YES	GPALN_010603-T1 pectate lyase 1	CAZy:PL3_3; CAZy:PL3; CAZy:PL3_2; CAZy:PL3_5; 	tandem	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_010659	8	-	-	YES	GPALN_010659-T1 ---NA---	-	proximal	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_010702	-	1	-	YES	GPALN_010702-T1 UDP-glucoronosyl and UDP-glucosyl transferase	-	WGD/segmental	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP
GPALN_010737	3	-	-	YES	GPALN_010737-T1 ---NA---	-	singleton	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_010789	9	-	YES	YES	GPALN_010789-T1 RBP-1 protein	-	proximal	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_010793	19	-	YES	YES	GPALN_010793-T1 RBP-1 protein	-	tandem	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi14_vs_Gp_MALE_Gp_MALE_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
GPALN_010968	4	-	YES	YES	GPALN_010968-T1 BTB/POZ domain-containing protein 3	-	proximal	up_J2_vs_14dpi	up_j2_v_egg	-	-	-	dpi14_vs_Gp_J2_Gp_J2_UP; dpi21_vs_Gp_J2_Gp_J2_UP; dpi28_vs_Gp_J2_Gp_J2_UP; dpi35_vs_Gp_J2_Gp_J2_UP; dpi7_vs_Gp_J2_Gp_J2_UP; EGG_vs_Gp_J2_Gp_J2_UP; J2_vs_Gp_MALE_Gp_J2_UP
