#gene	number_of_motif_upstream
GPALN_014569	1
GPALN_014571	1
GPALN_014575	1
GPALN_014576	1
GPALN_014583	1
GPALN_014639	1
GPALN_014640	1
GPALN_014649	1
GPALN_014697	1
GPALN_014698	1
GPALN_014715	1
GPALN_014753	1
GPALN_014755	1
GPALN_014759	1
GPALN_014773	1
GPALN_014775	1
GPALN_014802	1
GPALN_014835	1
GPALN_014846	1
GPALN_014862	1
GPALN_014874	1
GPALN_014879	1
GPALN_014883	1
GPALN_014884	1
GPALN_014926	1
GPALN_014939	1
GPALN_014951	1
GPALN_014958	1
GPALN_014964	1
GPALN_014976	1
GPALN_015025	1
GPALN_015046	1
GPALN_015060	1
GPALN_015061	1
GPALN_015075	1
GPALN_015121	1
GPALN_015131	1
GPALN_015156	1
GPALN_015172	1
GPALN_015174	1
GPALN_015178	1
GPALN_015179	1
GPALN_015183	1
GPALN_015186	1
GPALN_015209	1
GPALN_015223	1
GPALN_015230	1
GPALN_015233	1
GPALN_015234	1
GPALN_015237	1
GPALN_015244	1
GPALN_015251	1
GPALN_015252	1
GPALN_015253	1
GPALN_015279	1
GPALN_015285	1
GPALN_015286	1
GPALN_015292	1
GPALN_015301	1
GPALN_015312	1
GPALN_015332	1
GPALN_015346	1
GPALN_015347	1
GPALN_015359	1
GPALN_015364	1
GPALN_015365	1
GPALN_015415	1
GPALN_015418	1
GPALN_015419	1
GPALN_015423	1
GPALN_015450	1
GPALN_015495	1
GPALN_015499	1
GPALN_015531	1
GPALN_015545	1
GPALN_015578	1
GPALN_015601	1
GPALN_015622	1
GPALN_015629	1
GPALN_015654	1
GPALN_015675	1
GPALN_015686	1
GPALN_015694	1
GPALN_015697	1
GPALN_015704	1
GPALN_015742	1
GPALN_015745	1
GPALN_015799	1
GPALN_015804	1
GPALN_015813	1
GPALN_015819	1
GPALN_015826	1
GPALN_015832	1
GPALN_015833	1
GPALN_015927	1
GPALN_015999	1
GPALN_016000	1
GPALN_016014	1
GPALN_016035	1
GPALN_016050	1
GPALN_016065	1
GPALN_016089	1
GPALN_016107	1
GPALN_016116	1
GPALN_016117	1
GPALN_016193	1
GPALN_016197	1
GPALN_016244	1
GPALN_016265	1
GPALN_016268	1
GPALN_016277	1
GPALN_016284	1
GPALN_016298	1
